TRADE_OUTLET_ID;TRADE_OUTLET_CODE;INTERNAL_ORG_ID;EXTERNAL_ORG_ID;EXTERNAL_ORG_NM;TRADING_NETWORK_CD;BUSH_HOOKUP;TRADE_OUTLET_NM;TRADE_OUTLET_DESC;REGION_NM;REGION_OFFICE;PHONE_NO;EMAIL_TXT;CONTACT_PERSON_NM;EMPLOYEE_ID;MANAGER_PHONE_NO;ANNUAL_TURNOVER_AMT;DISCOUNT_RATE_PCT;REMOTENESS_NUM;TURNOVER_CATEGORY_CD;CONNECTION_TYPE_CD;AUHTORISATION_TYPE_CD;REGISTRATION_DT;EQUIPMENT_TYPE_CD;GROSS_AREA;WEB_CAM_FLG;ULTRAVIOL_DET_FLG;DESK_CNT;TRADE_OUTLET_STATUS_CD;PROCESSED_DTTM;LOAD_ID;RECORD_STATUS;TT_SPECIES;RESPONSE_PERSON_NM;ACTIVITY_TT;CREATED_BY_PERSON_NM;CREATED_DTTM;MDSE_CATEGORY_NM;COMMON_AGREEMENT_FLG;TRADE_ORGANIZATION_ID;CRM_KKO_INTERNAL_ORG_ID;CRM_KKO_INTERNAL_CODE;ONLINE_STORE_FLG;PARENT_TRADE_OUTLET_NM;PARENT_TRADE_OUTLET_CODE;TRADE_OUTLET_CLASSIFICATION;RESP_AGENT_SALES;RESP_PERSON;RESP_PARTNER_SALES;RESP_AGENT_SALES_POSITION;RESP_PERSON_POSITION;RESP_PARTNER_SALES_POSITION;RESP_AGENT_SALES_CODE;RESP_PERSON_CODE;RESP_PARTNER_SALES_CODE;RESP_AGENT_SALES_LOGIN;RESP_PERSON_LOGIN;RESP_PARTNER_SALES_LOGIN;EXT_SYSTEM_TRADE_OUTLET_ID;CITY;POSTCODE;STREET;HOUSE;CORPUS;OFFICE;CHAIRS_CNT;NOTEBOOKS_CNT;PRINTERS_CNT;RACKS_CNT;ACTIVITY_DATE;CREATED_BY_PERSON_NO;MANAGER_EMAIL_TXT;PRODUCT_LINES_TXT;KLADR;ADDRESS_LINE_TXT;STATE_TYPE_DESC;DISTRICT_TYPE_DESC;DISTRICT_NM;CITY_TYPE_DESC;SETTLEMENT_TYPE_DESC;SETTLEMENT_NM;STREET_TYPE_DESC;STATE_NM;TRADE_OUTLET_CODE_PRV;SMS_CODE;SMS_CODE_CANCEL_REASON;WRK_HRS_MON_TO_FRI_START;WRK_HRS_MON_TO_FRI_END;WRK_HRS_SAT_START;WRK_HRS_SAT_END;WRK_HRS_SUN_START;WRK_HRS_SUN_END;TRADING_NETWORK_CODE;SAFE_FLG;CABINET_FLG;LATITUDE;LONGITUDE;LOCATION_ACCURACY;FIAS_CODE;PAPERLESS11_REJECT;ROUTE_TXT;CLIENT_NAV_FLG
0000D6F0E2ADD8B3432585430052080C;660103452000020;Кредитно-кассовый офис ОАО «ОТП Банк» в г. Тамбов;660103452;МОБИЛЬНЫЙ ОФИС ЕДИНЫЙ ДОГОВОР;;;NEW mIPOS_Моршанск_ул.Интернациональная_47 (М-н_Линия тока);;МОСКОВСКИЙ;ТАМБОВ;2578;I.Krasichkov@otpbank.ru;Красичков Игорь Викторович;Красичков Игорь Викторович;2578;;;;;;;15.04.2020 16:27:28;;;Установлена;;1,00;Зарегистрирована в системе;18.03.2022 8:11:45;17698,00;I;1,2 порядок;;Активна;Елагин М.В.;07.04.2020 17:56:00;Автозапчасти, шины, диски, Двери/Окна/ПВХ, Детские товары, Мебель и комплектующие, Мелкая бытовая техника, Мототехника, Охота и рыбалка, Пылесосы, Садовое оборуд. и инвентарь, Спорт инвентарь, Стиральные/Посудомоечн. машины, Стройматериалы/Инструменты, Тепло/Водо/Газ. Оборудование, Холодильники, Электр./газ. плиты, Ювелирные изделия, часы;1;F0587FF75A7F1BC64325845F003DB691;1-4TFH-84;6801;;;;IPos;Кузнецов Ю.Д.;Попова Е.А.;;Начальник центра;Главный специалист;;1566;60448687;;CN=Yuriy D Kuznetsov/O=REP;CN=Elena A Popova/O=REP;;;Моршанск;393950;Интернациональная;47;;;;;;;15.04.2020 16:27:28;60412338;I.Krasichkov@otpbank.ru;POS, CASH, INST, UPSELL;6800000300000410208;393950, Тамбовская обл, Моршанск г, Интернациональная ул, д. 47;обл;;;г;;;ул;Тамбовская;;1;;01.01.0001 9:00:00;01.01.0001 18:00:00;01.01.0001 9:00:00;01.01.0001 18:00:00;01.01.0001 9:00:00;01.01.0001 18:00:00;;;;53.4437301;41.8114161;NEAREST_HOUSE;;;"ТЦ ""Линия тока"", на первом этаже по прямой у кассы располагается стол банка.";1
0017B7508D466837442579AE004C74F3;120100393000001;Кредитно-кассовый офис ОАО «ОТП Банк» в г. Чебоксары;120100393;ЗАГУЛЯЕВА И.Г.;;;МЕБЕЛЬ ДЛЯ ВАС (ИП Загуляева И.Г, ул.Й.Кырли, д.22);;ВЕРХНЕВОЛЖСКИЙ;ЧЕБОКСАРЫ;(8362) 73-40-39;;Загуляева Ирина Геннадьевна;Загуляева Ирина Геннадьевна;(8362) 73-40-39;400,00;;;;Dial-up;Электронная;06.03.2012 10:34:00;;161,60;Установлена;Установлен;1,00;Документы получены;18.03.2022 8:11:45;17698,00;I;1,2 порядок;;Активна;Кузьмин А.В.;24.02.2012 16:55:00;;;8D1FE625DFB8F345442579AE002A6F6A;1-4TFH-29;2101;;;;1,2 порядок;;;Ивин В.В.;;;Руководитель партнерских и агентских продаж;;;60433508;;;CN=Vladimir V Ivin/O=REP;;Йошкар-Ола;424000;Йывана Кырли ул;22;;;;1,00;1,00;;06.03.2012 10:34:00;09947970;;POS, CASH, INST, UPSELL;120000010000000;424000, Марий Эл Респ, Йошкар-Ола г, Йывана Кырли ул ул, д. 22;Респ;;;г;;;ул;Марий Эл;;;;01.01.0001 9:00:00;01.01.0001 18:30:00;01.01.0001 9:00:00;01.01.0001 16:30:00;01.01.0001;01.01.0001;;Установлен;;;;;;;Недалеко от ТЦ Планета. Как заходим в магазин направо.;1
0035E610842FA195432586D5002C62AB;660103452000145;Кредитно-кассовый офис ОАО «ОТП Банк» в г. Тамбов;660103452;МОБИЛЬНЫЙ ОФИС ЕДИНЫЙ ДОГОВОР;;;NEW mIPos_Тамбов_ул. Советская_19Б(Офис);;МОСКОВСКИЙ;ТАМБОВ;2572;A.Slonov@otpbank.ru;Слонов Альберт Русланович;Слонов Альберт Русланович;2572;;;;;;;31.05.2021 14:34:54;;;Установлена;Установлен;1,00;Зарегистрирована в системе;18.03.2022 8:11:45;17698,00;I;1,2 порядок;;Активна;Редина А.Ю.;14.05.2021 11:04:00;Услуги;1;F0587FF75A7F1BC64325845F003DB691;1-4TFH-84;6801;;;;IPos;Кузнецов Ю.Д.;Попова Е.А.;;Начальник центра;Главный специалист;;1566;60448687;;CN=Yuriy D Kuznetsov/O=REP;CN=Elena A Popova/O=REP;;;Тамбов;392000;Советская;19 Б;;;1,00;1,00;1,00;1,00;31.05.2021 14:34:54;09978321;A.Slonov@otpbank.ru;POS, CASH, INST, UPSELL;68000004000048100;392000, Тамбовская обл, Тамбов г, Советская ул, д. 19 Б;обл;;;г;;;ул;Тамбовская;;1;;01.01.0001 9:00:00;01.01.0001 18:00:00;01.01.0001;01.01.0001;01.01.0001;01.01.0001;;Установлен;;52.7411908;41.4511738;STREET;;;"Остановка ""Первомайская площадь"", 50 метров прямо";1
0079544A165DD4FD4325852F002A6F6C;530101005000001;Кредитно-кассовый офис ОАО «ОТП Банк» в г. Псков;530101005;Экспресс маг;;;Экспресс маг, ИП Кунгуров Д.А., Чудово г, Оплеснина ул, д. 7;;СЕВЕРО-ЗАПАДНЫЙ;ПСКОВ;+79052298863;dk@dkungurov.ru;Кунгуров Дмитрий Анатольевич;Кунгуров Дмитрий Анатольевич;+79052298863;;;;;;;20.03.2020 12:47:51;;;Установлена;Установлен;1,00;Зарегистрирована в системе;18.03.2022 8:11:45;17698,00;I;1,2 порядок;;Активна;Егоров А.А.;18.03.2020 10:43:00;Стройматериалы/Инструменты;;928DAC15CAE7BD654325852F00299877;1-4TFH-48;530101005;;;;1,2 порядок;;;Егоров А.А.;;;Руководитель партнерских и агентских продаж;;;60462500;;;CN=Aleksey A Egorov/O=REP;;Чудово;174210;Оплеснина;7;;;1,00;1,00;1,00;0,00;20.03.2020 12:47:51;60462500;dk@dkungurov.ru;POS, CASH, INST, UPSELL;5302000100000110010;174210, Новгородская обл, Чудовский р-н, Чудово г, Оплеснина ул, д. 7;обл;р-н;Чудовский;г;;;ул;Новгородская;;1;;01.01.0001 10:00:00;01.01.0001 18:00:00;01.01.0001 10:00:00;01.01.0001 18:00:00;01.01.0001 10:00:00;01.01.0001 18:00:00;;Установлен;;59.1219784;31.6778729;NEAREST_HOUSE;;;"Магазин ""Экспресс маг"" кредитный отдел";1
00865AB3C30BEADA432584040039F8BE;250101734000594;Кредитно-кассовый офис ОАО «ОТП Банк» в г. Якутск;250101734;14-09 ДНС Брокер УП ДНС Ритейл Брокер Единый договор;ДНС Брокер УП;;"ДНС Брокер УП, ООО ""ДНС Ритейл"" 678960 РС (Я), г.Нерюнгри ул.Ленина д.5";;ДАЛЬНЕВОСТОЧНЫЙ;ЯКУТСК;8-924-339-63-52;Sitikov.IA@dns-shop.ru;Ситников Иван?;Ситников Иван?;8-924-339-63-52;;;;;;;28.05.2019 11:46:54;;;Установлена;Установлен;2,00;Зарегистрирована в системе;18.03.2022 8:11:45;17698,00;I;1,2 порядок;;Активна;Агафонова О.М.;24.05.2019 13:33:00;Компьютеры и комплектующие, Ноутбуки, Телевизоры/плазменные панели, Телефоны/Гаджеты/Аксессуары;1;2C6BF5566403341D432583FB00265D6E;1-4TFH-97;1401;;;;Брокер;;;Дягилева А.В.;;;Руководитель партнерских и агентских продаж;;;60505583;;;CN=Aleksandra V Dyagileva/O=REP;012245201919385947;Нерюнгри;678960;Ленина;5;;;;2,00;1,00;;28.05.2019 11:46:54;60459226;Sitikov.IA@dns-shop.ru;POS, CASH, INST, UPSELL;1400000200000200091;678960, Саха /Якутия/ респ, Нерюнгри г, Ленина пр-кт, д. 5;респ;;;г;;;пр-кт;Саха /Якутия/;;;Не предусмотрено типом ТТ;01.01.0001 10:00:00;01.01.0001 20:00:00;01.01.0001 10:00:00;01.01.0001 20:00:00;01.01.0001 10:00:00;01.01.0001 20:00:00;NW01005;Установлен;;;;;;;;1
00A94D7F7A35F71A43258402004D8190;250101734000598;Кредитно-кассовый офис ОАО «ОТП Банк» в г. Якутск;250101734;14-09 ДНС Брокер УП ДНС Ритейл Брокер Единый договор;ДНС Брокер УП;;"ДНС Брокер УП, ООО ""ДНС Ритейл"" 678170,РС (Якутия),Мирнинский,Мирный,Иреляхская,д. 2,корп. 3,";;ДАЛЬНЕВОСТОЧНЫЙ;ЯКУТСК;89147129745;sergienko@dns-shop.ru;Сергиенко Евгений Александрович;Сергиенко Евгений Александрович;89147129745;;;;;;;28.05.2019 11:46:55;;;Установлена;Установлен;2,00;Зарегистрирована в системе;18.03.2022 8:11:45;17698,00;I;1,2 порядок;;Активна;Стрелец Т.Н.;22.05.2019 17:06:00;Компьютеры и комплектующие, Ноутбуки, Телевизоры/плазменные панели, Телефоны/Гаджеты/Аксессуары;1;2C6BF5566403341D432583FB00265D6E;1-4TFH-97;1401;;;;Брокер;;;Присяжнюк О.В.;;;Руководитель партнерских и агентских продаж;;;60477560;;;CN=Olga V Prisyazhnyuk/O=REP;0122252019235447;Мирный;678171;Иреляхская;2/3;;;;2,00;1,00;;28.05.2019 11:46:55;60460716;sergienko@dns-shop.ru;POS, CASH, INST, UPSELL;1401700100000450009;678171, Саха /Якутия/ респ, Мирнинский у, Мирный г, Иреляхская ул, д. 2/3;респ;у;Мирнинский;г;;;ул;Саха /Якутия/;;;Не предусмотрено типом ТТ;01.01.0001 10:00:00;01.01.0001 20:00:00;01.01.0001 10:00:00;01.01.0001 20:00:00;01.01.0001 10:00:00;01.01.0001 18:00:00;NW01005;Установлен;;;;;;;;1
00B1898610538913442579CE001D74CB;660100825000001;Кредитно-кассовый офис ОАО «ОТП Банк» в г. Екатеринбург;660100825;ПЛОТНИКОВ ЮРИЙ НИКОЛАЕВИЧ;;;ТРИО, Ип Плотников Ю.Н., г. Первоуральск, ул. Трубников 19;;ВОСТОЧНО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;950 637 88 13;;Носов Антон Васильевич;Носов Антон Васильевич;950 637 88 13;300000,00;;50,00;;Dial-up;Электронная;29.03.2012 15:17:12;;100,00;Установлена;Установлен;1,00;Зарегистрирована в системе;18.03.2022 8:11:45;17698,00;I;1,2 порядок;;Активна;Эпштейн В.В.;27.03.2012 8:21:00;;;5F06D5FAF606B3CDC32577BB003037E8;1-4TFH-18;6601;1;;;1,2 порядок;;;Арасланова Н.Е.;;;Руководитель партнерских и агентских продаж;;;60450758;;;CN=Nailya E Araslanova/O=REP;;Первоуральск;623104;Трубников;19;;;0,00;1,00;1,00;0,00;03.06.2014 12:08:32;21062;;POS, CASH, INST, UPSELL;660000160000138;623104, Свердловская обл, Первоуральск г, Трубников ул, д. 19;обл;;;г;;;ул;Свердловская;;;Не предусмотрено типом ТТ;01.01.0001 10:00:00;01.01.0001 20:00:00;01.01.0001 10:00:00;01.01.0001 20:00:00;01.01.0001 10:00:00;01.01.0001 20:00:00;;Установлен;;;;;;;ТТ Трио, центр города, жилой дом, 1 этаж;1
00B210A4F7B5990144257B2500139D78;540101279000001;Кредитно-кассовый офис ОАО «ОТП Банк» в г. Новосибирск;540101279;Эльдорадо-Чулым;"Франчайзер ""Эльдорадо""";;"Эльдорадо-Чулым, ООО ""Эльдорадо-Чулым"", Чулым г, Кооперативная ул, д. 6";;СИБИРСКИЙ;НОВОСИБИРСК;8(383)5022248;;Марина;Бехтерев Дмитрий Евгеньевич;(383)5533529;1000000,00;;;;Выделенная линия;Электронная;05.03.2013 16:46:32;;377,00;Установлена;Установлен;0,00;Документы получены;18.03.2022 8:11:45;17698,00;I;1,2 порядок;;Активна;Тихонова Г.А.;05.03.2013 6:34:00;Мелкая бытовая техника, Принтеры/Факсы/Копиры/Сканеры, Стиральные/Посудомоечн. машины, Телевизоры/плазменные панели, Телефоны/Гаджеты/Аксессуары, Холодильники;;0D5E3DEAC8EE287044257B2500123C79;1-4TFH-15;5401;;;;1,2 порядок;Жиманова О.В.;Штольц К.В.;;Руководитель Агентских продаж;Главный специалист;;60454293;10014289;;;CN=Konstantin V Shtolts/O=REP;;;Чулым;632551;Кооперативная;6;;;;1,00;1,00;;05.03.2013 16:46:32;09998237;;POS, CASH, INST, UPSELL;5403000100000270098;632551, Новосибирская обл, Чулымский р-н, Чулым г, Кооперативная ул, д. 6;обл;р-н;Чулымский;г;;;ул;Новосибирская;;;;01.01.0001 9:00:00;01.01.0001 18:00:00;01.01.0001 9:00:00;01.01.0001 16:00:00;01.01.0001 9:00:00;01.01.0001 16:00:00;NW00435;Установлен;;;;;;;"Вывеска магазина ""Эльдорадо"" кредитный специалист находится в конце зала";1
00C842681479F05A43257E91002692A3;310100603000001;Кредитно-кассовый офис ОАО «ОТП Банк» в г. Белгород;310100603;ЧЕРНОВ АНДРЕЙ ЮРЬЕВИЧ;;;Диамант, ИП Чернов А.Ю, г. Новый Оскол, ул. Володарского д.27;;МОСКОВСКИЙ;БЕЛГОРОД;8 904-092-51-65;;Чернов Андрей Юрьевич;Чернов Андрей Юрьевич;8 904-092-51-65;100,00;;150,00;;Dial-up;Электронная;30.07.2015 18:10:37;;30,00;Установлена;;1,00;Зарегистрирована в системе;18.03.2022 8:11:45;17698,00;I;1,2 порядок;;Активна;Мольков А.В.;29.07.2015 10:01:00;;;E7BE46B67B516188C325782200569AB1;1-4TFH-56;3101;;;;1,2 порядок;;;Косогов Д.С.;;;Руководитель партнерских и агентских продаж;;;60433285;;;CN=Denis S Kosogov/O=REP;;Новый Оскол;309640;Славы;27;;;1,00;1,00;1,00;0,00;30.07.2015 18:10:37;10020547;;POS, CASH, INST, UPSELL;310140010000000;309640, Белгородская обл, Новооскольский р-н, Новый Оскол г, Славы ул, д. 27;обл;р-н;Новооскольский;г;;;ул;Белгородская;;;;01.01.0001 9:00:00;01.01.0001 17:00:00;01.01.0001 9:00:00;01.01.0001 14:00:00;01.01.0001 9:00:00;01.01.0001 14:00:00;;Установлен;;;;;;;Магазин Диамант на 1 этаже в кредитной зоне;1
00DA477FA77FA005432582470031F3E8;2501015020001139;Кредитно-кассовый офис ОАО «ОТП Банк» в г. Кемерово;250101502;ДНС РИТЕЙЛ БРОКЕР ЕДИНЫЙ ДОГОВОР;ДНС БРОКЕР;;"ДНС, ООО ""ДНС РИТЕЙЛ"",Кемерово г,Ленина проспект,д. 133,,";;СИБИРСКИЙ;КЕМЕРОВО;8 (800) 7707 999;;Петросян Карен;Петросян Карен;8 (800) 7707 999;;;;;;;06.03.2018 12:14:48;;;Установлена;;1,00;Зарегистрирована в системе;18.03.2022 8:11:45;17698,00;I;1,2 порядок;;Активна;Адайбекова Ю.А.;05.03.2018 12:05:00;Компьютеры и комплектующие, Мелкая бытовая техника, Ноутбуки, Принтеры/Факсы/Копиры/Сканеры, Стиральные/Посудомоечн. машины, Стройматериалы/Инструменты, Телевизоры/плазменные панели, Телефоны/Гаджеты/Аксессуары, Холодильники, Электр./газ. плиты;1;C3E8D3230EC4B16B43258240004DB918;1-4TFH-4;4201;;;;Брокер;Касаткина И.Г.;Кокорин Н.Н.;;Руководитель Агентских продаж;Главный специалист;;60465906;60446257;;CN=Irina G Kasatkina/O=REP;CN=Nikolay N Kokorin/O=REP;;32525320181252985;Кемерово;650056;Ленина;133;;;;1,00;1,00;;06.03.2018 12:14:48;60455988;;POS, CASH, INST;420000090000836;650056, Кемеровская обл, Кемерово г, Ленина пр-кт, д. 133;обл;;;г;;;пр-кт;Кемеровская;;;Не предусмотрено типом ТТ;01.01.0001 10:00:00;01.01.0001 21:00:00;01.01.0001 10:00:00;01.01.0001 21:00:00;01.01.0001 10:00:00;01.01.0001 21:00:00;NW00150;;;;;;;;Отдельный вход в магазин ДНС, рядом ВОЛКОВСКИЙ, Эльдорадо. Ориентир Бульварное кольцо;1
