lendingOfficeName;lendingOfficeId;prevRegcenterName;prevRegcenterId;newRegcenterName;newRegcenterId
Саратов;14;Верхневолжский;2;Южный;3
Пермь;31;Восточно-Уральский;6;Верхневолжский;2
Белгород;48;Московский;7;Южный;3
Воронеж;51;Московский;7;Южный;3
Курск;55;Московский;7;Южный;3
Архангельск;66;Северо-Западный;1;Московский;7
Вологда;70;Северо-Западный;1;Московский;7
Калининград;71;Северо-Западный;1;Московский;7
Котлас;72;Северо-Западный;1;Московский;7
Мурманск;73;Северо-Западный;1;Московский;7
Петрозаводск;74;Северо-Западный;1;Московский;7
Псков;75;Северо-Западный;1;Московский;7
Санкт-Петербург;76;Северо-Западный;1;Московский;7
Сыктывкар;77;Северо-Западный;1;Верхневолжский;2
Улан-Удэ;93;Сибирский;4;Дальневосточный;5
Чита;94;Сибирский;4;Дальневосточный;5
