sapCode;shopName;shopAddress;workingHours
L464;Чехов3;142300, Московская обл, Чеховский р-н, Чехов г, Московская ул, дом № 96;Пн-Вс (10:00-22:00)
YA91;Донской;301767, Тульская обл, Донской г, Центральный мкр, Октябрьская ул, дом № 59а;Пн-Вс (09:00-20:00)
YD38;Узловая;301600, Тульская обл, Узловский р-н, Узловая г, Октябрьская ул, дом № 8;Пн-Вс (09:00-21:00)
YC14;Обнинск5;249034, Калужская обл, Обнинск г, Ленина пр-кт, дом № 72;Пн-Вс (10:00-19:30)
YA55;Воронеж26;394004, Воронежская обл, Воронеж г, Ленинский пр-кт, дом № 116 с Остановочный комплекс "Придача";Пн-Вс (09:00-21:00)
YC37;Петушки;601144, Владимирская обл, Петушинский р-н, Петушки г, Маяковского ул, дом № 12а;Пн-Вс (09:00-20:00)
YD39;Унеча;243300, Брянская обл, Унечский р-н, Унеча г, Иванова ул, дом № 10;Пн-Вс (09:00-20:00)
YA73;Вышний Волочек;171158, Тверская обл, Вышний Волочек г, Казанский пр-кт, дом № 93;Пн-Вс (09:00-19:00)
YA18;Белгород9;308010, Белгородская обл, Белгород г, Б.Хмельницкого пр-кт, дом № 164 ТЦ РИО;Пн-Вс (10:00-22:00)
YC50;Россошь;396659, Воронежская обл, Россошанский р-н, Россошь г, Октябрьская пл, дом № 22б;Пн-Вс (08:00-20:00)
L366;Ногинск4;142402, Московская обл, Ногинский р-н, Ногинск г, Ильича ул, дом № промплощадка №1 строение 1;Пн-Вс (09:00-21:00)
R227;Судогда2 ЕС;601350, Судогда г, Ленина ул 42;Пн-Вс (09:00-18:00)
R241;Климово ЕС;243040, Климово пгт, Октябрьская ул 13;Пн-Вс (09:00-19:00)
N385;Хкс Усть-Абакан ЕС;655100, Усть-Абакан пгт, Проточная ул 22;Пн-Вс (09:30-18:30)
R767;Балабаново2 ЕС;249000, Калужская обл.,г. Балабаново, ул. 50 лет Октября "Балабановские торговые ряды";Пн-Вс (09:00-21:00)
LS02;Крск Канск АЛПИ;663600, Красноярский край, Канск г, 40 лет Октября ул, дом № 62 строение 4 пом. 15;Пн-Вс (10:00-20:00)
LD18;Кир Слободской3;613150, Кировская обл, Слободской р-н, Слободской г, Советская ул, дом № 79;Пн-Вс (08:00-20:00)
U569;ЕК Шаля2 ЕС;623030, Шаля пгт, Орджоникидзе ул, д. 2б;Пн-Вс (09:00-20:00)
X621;Якутск Дворец Связи ЕС;677000, Якутск г, Ленина пр-кт 7;Пн-Вс (09:00-21:00)
L161;ТЦ Калита;117418, Москва г, Новоясеневский пр-кт, дом № 7 ТЦ Калита;Пн-Вс (10:00-22:00)
RE35;Фатеж ЕС;307100, Фатеж г, Карла Маркса ул 76А;Пн-Вс (09:00-18:00)
LP32;Прим Владивосток ТЦ Дружба;690039, Приморский край, Владивосток г, Русская ул, дом № 2 А ТЦ Дружба;Пн-Вс (10:00-21:00)
KI76;Крнд Усть-Лабинск Ободовского ЕС;352330, Усть-Лабинск г, Ободовского ул 27;Пн-Вс (08:00-20:00)
P571;РТ Тоцкое ЕС;461132, Тоцкое Второе с, Ленина ул 16;Пн-Вс (10:00-19:00)
ND64;Хкс Саяногорск Шушенская ЕС;655603, Саяногорск г, Шушенская ул 18;Пн-Вс (10:00-20:00)
S076;Архск Северодвинск Ломоносова ЕС;164500, Северодвинск г, Ломоносова ул 81;Пн-Вс (11:00-21:00)
S770;Вологда Макси ЕС;160000, Вологда г, Горького 122;Пн-Вс (10:00-21:00)
N053;Крск ТЦ Планета2 ЕС;660125, Красноярск г, 9 Мая 77;Пн-Вс (10:00-22:00)
KG03;РнД Тарасовский Кирова ЕС;346050, Тарасовский п, Кирова ул 2 а;Пн-Вс (08:00-19:00)
GA69;ЕК Нижний Тагил ТЦ Депо;622000, Свердловская обл, Нижний Тагил г, Свердловское ш, дом № 31, корпус Б ТЦ Депо;Пн-Вс (10:00-22:00)
YD80;Россошь3;396658, Воронежская обл, Россошанский р-н, Россошь г, Труда пр-кт, дом № 4Б;Пн-Вс (09:00-20:00)
N354;Ирк Тайшет Гагарина ЕС;665010, Тайшет г, Гагарина ул 123;Пн-Вт (09:00-21:00), Ср-Чт (09:00-19:00), Пт (09:00-21:00), Сб-Вс (09:00-19:00)
YA89;Данков;399850, Липецкая обл, Данковский р-н, Данков г, Карла Маркса ул, дом № 9а;Пн-Вс (09:00-19:00)
YC31;Острогожск;397855, Воронежская обл, Острогожский р-н, Острогожск г, Ленина ул, дом № 18;Пн-Вс (08:00-19:00)
YA23;Борисоглебск;397165, Воронежская обл, Борисоглебский р-н, Борисоглебск г, Советская ул, позиция № 7;Пн-Вс (08:00-20:00)
YA54;Воронеж24;394038, Воронежская обл, Воронеж г, Космонавтов ул, дом № 27Г ул. Космонавтов, 27А;Пн-Вс (10:00-21:00)
U296;Пермь Соликамск3 ЕС;618540, Соликамск г, Северная ул 57;Пн-Вс (09:00-20:00)
LS06;Крск Курагино;662910, Красноярский край, Курагинский р-н, Курагино пгт, Советский пер, строение № 15 а пом.3;Пн-Вс (09:00-19:00)
GL24;Астр Исады2;414000, Астраханская обл, Астрахань г, ул.Красная Набережная/Ногина д98/1, Литер А ,помещение 2;Пн-Вс (08:00-19:00)
