partnerCode;shopName;shopAddress;workingHours;latitude;longitude
YA55;Воронеж26;"394004, Воронежская обл, Воронеж г, Ленинский пр-кт, дом № 116 с Остановочный комплекс ""Придача""";Пн-Вс (09:00-20:00);51,671739;39,252606
YC37;Петушки;601144, Владимирская обл, Петушинский р-н, Петушки г, Маяковского ул, дом № 12а;Пн-Вс (09:00-19:00);55,93598;39,458382
YD39;Унеча;243300, Брянская обл, Унечский р-н, Унеча г, Иванова ул, дом № 10;Пн-Вс (09:00-19:00);52,842512;32,675886
YA18;Белгород9;308010, Белгородская обл, Белгород г, Б.Хмельницкого пр-кт, дом № 164 ТЦ РИО;Пн-Вс (10:00-21:00);50,642103;36,572131
YC50;Россошь;396659, Воронежская обл, Россошанский р-н, Россошь г, Октябрьская пл, дом № 22б;Пн-Вс (08:00-19:00);50,198806;39,53906
R227;Судогда2 ЕС;601350, Судогда г, Ленина ул 42;Пн-Пт (09:00-18:00);55,95122;40,8626
LD18;Кир Слободской3;613150, Кировская обл, Слободской р-н, Слободской г, Советская ул, дом № 79;Пн-Сб (09:00-20:00), Вс (09:00-19:00);58,730253;50,183053
U569;ЕК Шаля2 ЕС;623030, Шаля пгт, Орджоникидзе ул, д. 2б;Пн-Вс (09:00-20:00);57,25197;58,72426
X621;Якутск Дворец Связи ЕС;677000, Якутск г, Ленина пр-кт 7;Пн-Вс (09:00-21:00);62,03249;129,74441
L161;ТЦ Калита;117418, Москва г, Новоясеневский пр-кт, дом № 7 ТЦ Калита;Пн-Вс (10:00-22:00);55,607489;37,532397
LP32;Прим Владивосток ТЦ Дружба;690039, Приморский край, Владивосток г, Русская ул, дом № 2 А ТЦ Дружба;Пн-Вс (10:00-20:00);43,165384;131,90647
N053;Крск ТЦ Планета2 ЕС;660125, Красноярск г, 9 Мая 77;Пн-Вс (10:00-22:00);56,0509;92,90438
YD80;Россошь3;396658, Воронежская обл, Россошанский р-н, Россошь г, Труда пр-кт, дом № 4Б;Пн-Вс (09:00-20:00);50,197287;50,197287
L449;Тучково;143130, Московская обл, Рузский р-н, Тучково рп, Привокзальная площадь ул, дом № 9;Пн-Вс (09:00-20:00);55,631;36,556734
GL24;Астр Исады2;414000, Астраханская обл, Астрахань г, ул.Красная Набережная/Ногина д98/1, Литер А ,помещение 2;Пн-Вс (08:00-19:00);46,347459;48,056524
X402;Амур Благовещенск Октября3 ЕС;675000, Благовещенск г, 50 лет Октября ул 42;Пн-Вс (09:00-20:00);50,26711;127,53505
R732;Рязань ТРЦ Премьер ЕС;390000, Рязань г, Московское ш 21;Пн-Вс (10:00-22:00);54,63437;39,6888
N812;КО Прокопьевск Гагарина ЕС;653033, Прокопьевск г, Гагарина ул 35;Пн (09:00-19:00), Ср-Пт (09:00-19:00), Вс (09:00-19:00);53,87169;86,64674
NE95;Ирк Шелехов ТЦ Радуга ЕС;г.Шелехов, Квартал 6, дом 30 А;Пн-Вс (09:00-20:00);52,209045;104,092526
R078;Ржев4 ЕС;172390, Ржев г, Ленина ул 18;Пн-Вс (09:00-21:00);56,26668;34,32985
YO66;Вновг Старая Русса;175202, Новгородская обл, Старорусский р-н, Старая Русса г, Поперечная ул, дом № 73;Пн-Вс (09:00-20:00);57,994969;31,345405
GN98;Крнд Старощербиновская;353620, Краснодарский край, Щербиновский р-н, Старощербиновская ст-ца, Первомайская ул, дом № 84;Пн-Вс (08:00-19:00);46,632882;38,65987
RH08;Задонск ТЦ Сити Молл ЕС;399201, Задонск г, Крупской ул 55;Пн-Вс (09:00-19:00);52,38612;38,92274
X633;Якутия Ытык-Кюёль ЕС;678650, Ытык-Кюель с, Мординова ул 22;Пн-Пт (10:00-18:00);62,36019;133,56359
S274;Псков Коммунальная2 ЕС;180024, Псков г, Коммунальная ул 41;Пн-Вс (10:00-21:00);57,82044;28,29088
X638;Якутия Чурапча1 ЕС;678670, Чурапча с, К. Маркса ул 15;Пн-Сб (09:00-19:00);61,99851;132,43918
LE36;СРТ Красный Кут;413235, Саратовская обл, Краснокутский р-н, Красный Кут г, Саратовский пер, дом № 1;Пн-Вс (08:00-18:00);50,949714;46,971469
U834;ЕК Тавда2 ЕС;623950, Тавда г, 9-Мая ул 4 пом 53;Пн-Вс (10:00-18:00);58,04623;65,27372
U685;Пермь Чердынь ЕС;618601, Чердынь г, Успенская ул, 74;Пн-Пт (10:00-18:00);60,40237;56,48063
S827;Мрмск Оленегорск Ленинградский ЕС;184530, Оленегорск г, пр.Ленинградский 7;Пн-Пт (10:00-18:00);68,13856;33,28153
ND42;Тыва Кызыл Добровольцев3 ЕС;667000, Кызыл г, Тувинских добровольцев ул 26;Пн-Вс (09:00-20:00);51,71716;94,44178
GC56;ХМАО Когалым ТЦ Галактика;628481, Ханты-Мансийский Автономный округ - Югра АО, Когалым г, Дружбы Народов ул, дом № 60 ТЦ Галактика;Пн-Вс (10:00-22:00);62,258422;74,542493
LQ47;Ирк ТЦ Карамель;664007, Иркутская обл, Иркутск г, Партизанская ул, дом № 36;Пн-Вс (10:00-22:00);52,279297;104,302576
LR95;Крск Железногорск;662970, Красноярский край, Железногорск г, Ленинградский пр-кт, дом № 1б;Пн-Вс (10:00-20:00);56,23039;93,547893
LR68;КО Промышленная;652380, Кемеровская обл, Промышленновский р-н, Промышленная пгт, Н.Островского ул, дом № 20;Ср-Вс (09:00-19:00);54,905457;85,636109
L377;Одинцово9;143005, Московская обл, Одинцовский р-н, Одинцово г, Можайское ш, дом № 71;Пн-Вс (10:00-20:00);55,677951;37,281157
LQ72;Ирк Депутатская;664047, Иркутская обл, Иркутск г, Депутатская ул, остановка 1-я Советская;Пн-Вс (10:00-20:00);52,277971;104,318168
BK03;Крнд Новороссийск Бирюзов ЕС;353900, Новороссийск г, ул. Советов / ул. Бирюзов д.11 / д.;Пн-Вс (09:00-19:00);44,72271;37,76931
LP19;Амур Благовещенск Октября2;675000, Амурская обл, Благовещенск г, 50 лет Октября ул, дом № 44;Пн-Вт (09:00-19:00), Пт-Вс (09:00-19:00);50,267843;127,53578
YO43;Архск Нарьян-Мар3;166000, Ненецкий АО, Архангельская область, Нарьян-Мар г, им В.И.Ленина ул, дом № 42;Пн-Вс (10:00-21:00);67,636403;52,98641
K748;Крнд Славянск-на-Кубани Ковтюха ЕС;353560, Славянск-на-Кубани г, Ковтюха ул 17;Пн-Вс (08:00-18:00);45,26017;38,12585
K592;РД Каспийск Назарова ЕС;368305, Каспийск г, Назарова ул 1;Пн-Вс (09:00-20:00);42,88698;47,6348
MV91;Железнодорожный ТЦ Эдельвейс ЕС;143980, Железнодорожный г, Советская ул 9;Пн-Вс (10:00-21:00);55,75158;38,01209
YB53;Курск18;305044, Курская обл, Курск г, Союзная ул, дом № 16 Б;Пн-Вс (09:00-21:00);51,74717;36,2449
LQ89;Ирк Свирск;665420, Иркутская обл, Свирск г, Комсомольская ул, дом № 2-2;Пн-Вс (10:00-20:00);53,066721;103,341951
LB09;РТ Канаш Рынок;429330, Чувашская Республика - Чувашия, Канаш г, Московская ул, дом № 14, помещение 2;Пн-Вс (08:00-19:00);55,509;47,494502
LT25;Збк Петровск;673005, Забайкальский край, Петровск-Забайкальский р-н, Петровск-Забайкальский г, Ленина ул, дом № 3;Пн-Вс (09:00-19:00);51,252927;108,825818
LP83;Амур Свободный Ленина;676450, Амурская обл, Свободный г, Ленина ул, дом № 72;Вт-Чт (09:00-19:00), Сб-Вс (09:00-19:00);51,378105;128,135893
LP80;Амур Прогресс Центр;676790, Амурская обл, Прогресс пос., Ленинградская ул, дом № 33;Пн-Чт (09:00-18:00), Сб (09:00-18:00);49,74363;129,67641
GB12;ЕК Серов2;"624992, Свердловская обл, Серов г, Ленина ул, дом № 128 ТЦ ""Тайга""";Пн-Вс (09:00-20:00);59,604721;60,570755
GD78;Члб Озерск;456783, Челябинская обл, Озерск г, Космонавтов ул, дом № 15;Пн-Вс (10:00-20:00);55,771255;60,717498
GD15;Члб Башня;454071, Челябинская обл, Челябинск г, Салютная ул, дом № 27;Пн-Вс (10:00-21:00);55,169793;61,443714
YP76;СПб Колпино ТК Ока;196655, Санкт-Петербург г, Колпино г, Октябрьская ул, дом № 8;Пн-Вс (10:00-21:00);59,738991;30,622871
LA22;РТ Алатырь Fugi Film;429826, Чувашская Респ, Алатырь г, Комиссариатская ул, дом № 42  помещение 2;Пн-Пт (09:00-18:00);54,840284;46,590748
GM28;КЧР Черкесск ТЦ Панорама;369000, Карачаево-Черкесская Респ, Черкесск г, Кавказская ул, дом № 37 ТЦ Панорама;Пн-Вс (10:00-21:00);44,231637;42,058659
GC32;Тмн Стар Сити Мол;625007, Тюменская обл, Тюмень г, Тобольский тракт ТЦ стар Сити Молл;Пн-Вс (10:00-22:00);56,834608;60,682455
GN56;Ствр Пятигорск Кирова;357500, Ставропольский край, Пятигорск г, Кирова пр-кт, дом № 36/ ул. Дзержинского, 42;Пн-Чт (09:00-19:00), Вс (09:00-19:00);44,036596;43,074902
GB76;Пермь Кудымкар2;619000, Пермский край, Кудымкар г, Лихачева ул, дом № 55 В павильон;Пн-Вс (09:00-19:00);59,015696;54,66332
LB73;РТ Орск - ДК Нефтехимиков2;462404, Оренбургская обл, Орск г, Ленина пр-кт, дом № 43;Пн-Ср (10:00-18:00), Пт-Сб (10:00-18:00);51,203617;58,56723
LS44;НСиб Голден Парк;630129, Новосибирская обл, Новосибирск г, Курчатова ул, дом № 1 ТЦ Голден Парк;Пн-Вс (10:00-21:00);55,104251;82,960715
ML54;ТЦ Ново-Переделкино ЕС;119634, Москва г, Боровское шоссе 51стр.1;Пн-Вс (09:00-21:00);55,6366;37,35223
RH51;Орел ТЦ Атолл ЕС;302028, Орел г, Октябрьская ул 27;Пн-Вс (10:00-21:00);52,97232;36,05395
X630;Якутия Борогонцы1 ЕС;678350, Борогонцы с, Ленина 38;Пн-Пт (10:00-17:30);62,6713;131,15902
P693;СРТ Аткарск3 ЕС;412420, Аткарск г, Гагарина 101А;Пн-Вс (08:00-20:00);51,87046;44,99509
U843;ЕК Красноуфимск2 ЕС;623300, Красноуфимск г, Рогозинниковых ул 35;Пн-Вс (09:00-19:00);56,61604;57,77255
LR82;Крск Алпи Тельмана;660111, Красноярский край, Красноярск г, Тельмана ул, дом № 30, корпус Г;Пн-Вс (10:00-20:00);56,05346;92,972064
GB87;Пермь Очер;617141, Пермский край, Очерский р-н, Очер г, Ленина ул, дом № 46/14;Пн-Вс (09:00-19:00);57,884994;54,715906
LP24;Якутия Верхневилюйск;678230, Саха /Якутия/ Респ, Верхневилюйский у, Верхневилюйск с, Карла Маркса ул, дом № 21 Б;Пн-Вс (09:00-19:00);63,44865;120,323422
L155;ТЦ Город2;109052, Москва г, Рязанский пр-кт, дом № 2, корпус 2;Пн-Вс (10:00-22:00);55,729836;37,73101
N257;Нсиб Станиславского ЕС;630054, Новосибирск г, Станиславского пл 17;Пн (10:00-20:00), Чт-Вс (10:00-20:00);54,98191;82,87296
N054;Крск ТЦ Планета3 ЕС;660125, Красноярск г, 9 Мая 77;Пн-Вс (10:00-22:00);56,0509;92,90438
YO87;Карел ТРК Лотос Плаза;185014, Карелия Респ, Петрозаводск г, Лесной пр-кт, дом № 47а ТРК Лотос Плаза;Пн-Вс (10:00-22:00);61,77615;34,308473
S624;Калин Балтийск Нептун ЕС;238520, Балтийск г, Ленина пр-кт 65;Пн-Вс (09:00-20:00);54,65453;19,9107
UR65;Пермь Кизел2 ЕС;618350, Пермский край., Кизел г, Советсткая ул, д.28;Пн-Вс (09:30-19:00);59,048717;57,655312
S974;СПб Приозерск Ленина ЕС;188760, Приозерск г, Ленина ул 30;Пн-Вс (09:00-21:00);61,03851;30,1231
RH66;Курск ТРЦ МегаГрин ЕС;305029, Курск г, К.Маркса ул 68;Пн-Вс (10:00-22:00);51,76213;36,18455
