login;birthday
F24180;28.05.1973
W0101N1082;23.08.1980
W0101N110;31.01.1987
W0101N1108;10.05.1980
W0101N1132;21.09.1990
W0101N1154;08.07.1978
W0101N1158;19.09.1979
W0101N1176;15.10.1983
W0101N1186;10.01.1988
W0101N1234;26.04.1979
W0101N1239;01.10.1989
W0101N1262;23.10.1982
W0101N1269;25.08.1989
W0101N1275;14.10.1982
W0101N1294;26.11.1982
W0101N1305;06.05.1990
W0101N1341;23.10.1983
W0101N1417;08.05.1987
W0101N1421;03.08.1991
W0101N1439;21.04.1973
W0101N1444;06.06.1991
W0101N1449;20.09.1981
W0101N1462;30.05.1991
W0101N1465;23.06.1986
W0101N1466;03.10.1975
W0101N1468;06.11.1994
W0101N1472;24.04.1986
W0101N1473;15.03.1975
W0101N1479;02.10.1985
W0101N1493;09.12.1985
W0101N1626;09.12.1998
W0101N1662;06.04.1976
W0101N1706;04.10.1986
W0101N1711;31.12.1987
W0101N1744;11.09.1974
W0101N1775;15.01.1999
W0101N1777;07.02.1986
W0101N1786;13.05.1987
W0101N1790;20.12.1981
W0101N1832;11.12.1990
W0101N1885;17.09.1991
W0101N1894;19.07.1986
W0101N1895;03.12.1986
W0101N1921;12.03.1987
W0101N1927;02.11.1994
W0101N1936;24.01.1984
W0101N1938;04.07.1973
W0101N1944;16.01.1980
W0101N1946;06.07.1980
W0101N1965;18.06.1979
W0101N1966;11.08.1990
W0101N1989;10.08.1990
W0101N1997;28.10.1990
W0101N2006;29.09.2000
W0101N2017;08.02.1990
W0101N2018;27.04.1962
W0101N2035;14.01.1993
W0101N2071;13.05.1990
W0101N2075;06.10.2000
W0101N2098;14.11.1998
W0101N2111;01.09.1990
W0101N2131;05.07.1965
W0101N2138;08.09.1991
W0101N2142;07.03.1983
W0101N2151;21.05.1993
W0101N2174;02.12.1981
W0101N2188;21.06.2001
W0101N2202;09.01.2002
W0101N2229;01.07.1998
W0101N2233;28.12.2001
W0101N2246;06.07.1983
W0101N2260;30.06.1990
W0101N2268;01.09.1992
W0101N2271;05.09.2000
W0101N2307;08.03.1986
W0101N2318;17.12.1990
W0101N2319;22.02.1996
W0101N2338;03.03.2002
W0101N2340;01.11.1991
W0101N2346;17.11.1992
W0101N2352;13.04.1989
W0101N2365;28.02.1989
W0101N2367;08.09.1990
W0101N2377;09.09.1991
W0101N2381;24.11.1998
W0101N2389;19.09.1998
W0101N2428;17.04.2004
W0101N2429;16.03.1990
W0101N335;25.07.1972
W0101N391;19.09.1979
W0101N475;19.10.1982
W0101N527;05.10.1976
W0101N563;25.04.1989
W0101N638;11.05.1975
W0101N728;01.05.1984 11:00
W0101N750;14.01.1979
W0101N792;07.03.1965
W0101N847;04.02.1982
W0101N919;28.01.1984
W0101N993;11.01.1968
W0201N10178;15.01.1985
W0201N10241;24.08.1964
W0201N10292;21.07.1968
W0201N10397;23.10.1979
W0201N10401;04.09.1977
W0201N10465;07.02.1977
W0201N10786;11.11.1987
W0201N10863;21.01.1989
W0201N10866;25.04.1997
W0201N12405;25.12.1992
W0201N13104;06.11.1991
W0201N13105;12.03.1985
W0201N13114;10.01.1987
W0201N13367;17.03.1985
W0201N13702;24.07.1983
W0201N1382;07.06.1990 23:00
W0201N13820;06.05.1984
W0201N14452;14.01.1986
W0201N14481;26.05.1995
W0201N14498;12.05.1989
W0201N14545;18.08.1977
W0201N14554;27.03.1984
W0201N14702;05.04.1994
W0201N15128;09.10.1980
W0201N15158;05.12.1992
W0201N15524;02.04.1988
W0201N15578;31.03.1996
W0201N15579;07.10.1987
W0201N15632;09.01.1988
