regcenterName;lendingOfficeName;lendingOfficeCode;type;organizationName;shopName;commercialNetName;shopCode;shopAddress;locationMessage;workingHours;latitude;longitude;order
ВОЛЖСКО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;1-4TFH-18;IPOS;Мобильный офис;new_mIPos_Каменск-Уральский_Проспект Победы д.11 А ТЦ Октябрьский;;660103452000123;623428, Свердловская обл, Каменск-Уральский г, Победы пр-кт, д. 11А;ТЦ Октябрьский, на 1 эт. у входа в ТЦ,  налево. Рядом отделение банка Хоум кредит;"Пн-Пт: 10:00-20:00 ; Сб: 10:00-20:00 ; Вс: 10:00-20:00";56.419577;61.91851;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;1-4TFH-18;POS;ИП Козлов Леонид Иванович;33 КОМОДА 2п, ИП Козлов Л.И., Первоуральск, Ленина, 10;;660102531000001;623101, Свердловская обл, Первоуральск г, Ленина ул, д. 10;ТТ 33 комода мебель в ТЦ КИТ на 2м этаже, вход рядом с Pizza Mia;"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";56.9125773;59.9496725;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;1-4TFH-18;POS;ИП Некрасов Ю.А.;Спектр Бытовая техника, ИП Некрасов Ю.А.,  Артинский р-н, Арти пгт, Рабочей Молодежи ул, д. 96;;660103621000001;623340, Свердловская обл, Артинский р-н, Арти рп, Рабочей молодежи ул, д. 96;ТТ Спектр, ТЦ Лидер, 2 этаж, прямо с входа в ТТ;"Пн-Пт: 09:00-18:00 ; Сб: 09:00-16:00 ; Вс: 09:00-16:00";56.4128096;58.5343314;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;1-4TFH-18;POS;ИП Могильникова С.Н.;Эксперт Зибель, г. КРАСНОУФИМСК, ул. Мизерова, д. 115;;660100688001;623300, Свердловская обл, Красноуфимск г, Мизерова ул, д. 115;ТЦ Эксперт, центр города, рядом администрация;"Пн-Пт: 09:00-20:00 ; Сб: 09:00-18:00 ; Вс: 09:00-18:00";56.6156894;57.775535;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;1-4TFH-18;POS;ИП Плотников Ю.Н.;ТРИО, Ип Плотников Ю.Н., г. Первоуральск, ул. Трубников 19;;660100825000001;623104, Свердловская обл, Первоуральск г, Трубников ул, д. 19;ТТ Трио, центр города, жилой дом, 1 этаж;"Пн-Пт: 10:00-20:00 ; Сб: 10:00-20:00 ; Вс: 10:00-20:00";56.8995278;59.9520765;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;1-4TFH-18;POS;"ООО ""ДНС РИТЕЙЛ""";"ДНС Брокер УП, ООО ""ДНС Ритейл"" Свердловская обл., г. Камышлов, ул. Карла Маркса, 50";ЭКСПЕРТ-РИТЕЙЛ;250101734000328;624860, Свердловская обл, Камышлов г, Карла Маркса ул, д. 50;ТЦ ДНС, на втором этаже, центр города;"Пн-Пт: 10:00-20:00 ; Сб: 10:00-20:00 ; Вс: 10:00-20:00";56.8462811;62.6979238;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;1-4TFH-18;POS;ИП Плотников Ю.Н.;Трио Ревда точка 1,2 порядок;;660100825000003;623280, Свердловская обл, Ревда г, Максима Горького ул, д. 21;ТТ Трио, центр города, жилой дом, 1 этаж;"Пн-Пт: 10:00-18:00 ; Сб: 10:00-18:00 ; Вс: 10:00-18:00";56.7990032;59.9081612;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;1-4TFH-18;IPOS;Мобильный офис;NEW mIPOS Ирбит, ул. Советская д. 34, корпус б;;660103452000002;623850, Свердловская обл, Ирбит г, Советская ул, д. 34, кор. б;ТЦ  Антураж, на 1 эт. у входа в ТЦ;"Пн-Пт: 10:00-21:00 ; Сб: 10:00-21:00 ; Вс: 10:00-21:00";57.6773434;63.0648138;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;1-4TFH-18;POS;ИП Ясман Надежда Владимировна;Товары для дома, ИП Ясман Н.В., Каменск-Уральский, пр. Победы, 63;;6601567001;623428, Свердловская обл, Каменск-Уральский г, Победы пр-кт, д. 63;ТТ Товары для дома - мебель, 1 этаж, при входе направо, рядом расположен ТЦ Сити МОЛЛ;"Пн-Пт: 10:00-19:00 ; Сб: 10:00-17:00 ; Вс: 10:00-16:00";56.4240167;61.9031874;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ЕКАТЕРИНБУРГ;1-4TFH-18;POS;ПАНАЕВ КОНСТАНТИН ВАЛЕРЬЕВИЧ;220 v ИП ПАНАЕВ К.В. ТУРИНСК Социалистическая 77;;6601352001;623900, Свердловская обл, Туринский р-н, Туринск г, Социалистическая ул, д. 77;"ТТ 220V, 2 этаж, напротив входа, радом магазин ""Монетка""";"Пн-Пт: 09:00-19:00 ; Сб: 09:00-17:00 ; Вс: 09:00-17:00";58.0534135;63.6854705;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ИЖЕВСК;1-4TFH-39;IPOS;Мобильный офис;mIPOS_Сарапул_Горького_16 (ТЦ Европа);;660103452000129;427960, Удмуртская Респ, Сарапул г, Горького ул, д. 16;ТЦ Европа, вход рядом с магазином ДНС;"Пн-Пт: 10:00-20:00 ; Сб: 10:00-20:00 ; Вс: 10:00-20:00";56.4760904;53.8148867;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ИЖЕВСК;1-4TFH-39;POS;"ООО ""СТС 18""";СТС 18, ООО Сантеплоснаб, Ижевск г, Пойма ул, дом 7, офис 108;;180102079000002;426028, Удмуртская Респ, Ижевск г, Пойма ул, д. 7, офис 108;"Магазин ""хозяйственная база"" кредитный отдел 1 этаж, возле зоны банкоматов";"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";56.8116005;53.1963439;1,2 порядок
ВОЛЖСКО-УРАЛЬСКИЙ;ИЖЕВСК;1-4TFH-39;POS;"ООО ""Техностиль""";"ТЕХПРОМ ВОТКИНСК, ООО ""Техностиль"", г.Воткинск, ул. 1 Мая, д.102";;180103145000001;427433, Удмуртская Респ, Воткинск г, 1 Мая ул, д. 102;магазин Техпром, сотрудник находится в конце торгового зала;"Пн-Пт: 10:00-20:00 ; Сб: 10:00-20:00 ; Вс: 10:00-20:00";57.0599698;53.9987442;1,2 порядок
