code;name;net;status;order;clazz;active
N230101954000011;www.moto-viraj.ru, ИП Пиценко С.Е., г. Славянск-на-Кубани, ул. Ковтюха, д. 95-а;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Заблокирована
N230105581000001;Автоприцепы ИП Новоселов Г.Н. ,ул. Полковая 256;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230106326000002;Instagram_okna_slavyansk_ИП Миненков Ю.М., Славянск-на-Кубани г, Красная ул, д. 68;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230101203001;Кубань Охота, г. Славянск-на-Кубани, ул. Ковтюха, д. 47, к. а;Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N2301104002;Омега, ИП Назрова Т.В., г. Славянск-на-Кубани, ул. Ковтюха, д. 42;Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N2301974001;"""Спутник"" в х.Трудобеликовский, ИП Егоров В.И., х. Трудобеликовский, ул. Ленина, д. 67, кор. г";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230101137001;"магазин ""Одисей моторс"", ИП Мезенок С.Д., г. Славянск-на-Кубани, ул. Щорса, д. 264, кор. а";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230101030001;"Магазин ""Вирус"", ИП Латыш М.М., г. Славянск-на-Кубани, ул. Отдельская, д. 225";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230104735000001;"Магазин ""Вега"", ИП Травникова Г.П., г. Славянск-на-Кубани, ул. Ковтюха, д. 78";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230105364000001;Тук-Тук, ИП Залян М.Г., г. Славянск-на-Кубани г, ул. Ленина, 118;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230103269000001;"""Старт"" ИП Фрунза В.И.,  Краснодарский край, ст.Полтавская, ул.Ковтюха, д.90";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230103390000001;"""Мебель Белоруссии"" ИП Новотельнов Н.В., г.Славянск-на-Кубани, ул. Троицкая, д.216";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230104482000001;"""Теплодаръ"", ИП Крыхтин С.В., г. Славянск-на-Кубани, ул. Лермонтова, д. 216-а";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230103300000001;"""МК Комфорт"" ООО ""МК Комфорт""   Краснодарский край, г. Славянск-на-Кубани, ул. Пионерская, д.14";Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N230102768000001;"""Муравей"", ИП Базик М.В., г. Славянск-на-Кубани, ул. Ковтюха, д. 125";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230104122000001;"""Кубань Охота"" ИП Чуян Т.Е.,г.Славянск-на-Кубани,ул.Ковтюха,д.47А";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230104169000001;"""Магистраль"" , ИП Федин С.В., г.Славянск-на-Кубани, ул.Пролетарская,д.252";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N2301762001;ТЦ Станичный, ПО КАМАВТОРЕСУРС, ст. Полтавская, ул. Жлобы, д. 55;Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N2301150001;Керамика в Славянске, ИП Слепуха С.А., г. Славянск-на-Кубани, ул. Школьная, д. 204;Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230104639000001;"""Кухни Дэлия"", ИП Бугайчук И.Я., г. Славянск-на-Кубани, ул. Ковтюха, д. 78";ДРИАДА;Документы получены;3 порядок;4 порядок;Активна
N230101258000001;Мобильник, ИП Залян Х.Г., г. Славянск-на-Кубани, ул. Промышленная, д. 35А;Независимые торговцы;Документы получены;3 порядок;3 порядок;Заблокирована
N230103522000001;"Магазин ""Имидж"" , ИП Кожемякина С.Н., г.Славянск-на-Кубани, ул.Ленина, д.113";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230103665000002;"Ювелирный магазин ""Корона"", ИП Кучерова Н.Г., г. Славянск-на-Кубани, ул. Ковтюха ,д. 19";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230104667000002;"""Мобильник"", ИП Залян Х.Г., г. Славянск-на-Кубани, ул. Промышленная, д. 35А";Независимые торговцы;Зарегистрирована в системе;3 порядок;Брокер;Заблокирована
N230103427000001;"Магазин "" Мастер"" ИП Кучумов И.А. Краснодарский край, ст.Полтавская, ул. Интернациональная, д.190/3";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230104351000001;Мебель Grazia, ИП Колесник Ю.В., х.Трудобеликовский, ул.Ленина,д.8\1;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230104305000001;"Шанс и С, ООО ""ШАНС И С СЛАВЯНСКОЕ"",г.Славянск-на-Кубани, ул.Красная, д.66 А";Шанс и С;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102556000001;"""Мир Комфорта"" ИП Лукьяненко А.В.";Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N230103490000001;Мебельный салон ИП Эприкян Д.Р. х.Трудобеликовский, ул.Ленина, д.5;Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230102041000001;"""Мото-Вело"", ИП Сидоренко Е.Н., х. Трудобеликовский, ул. Ленина, д. 9, кор. 1";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230104976000001;"""Док-Лес"",  ИП Фитисова Е.А., ст. Полтавская, ул. Народная, дом 2";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230101137000001;"Магазин ""Мотозапчасти"" ИП Мезенок С.Д., ст. Петровская, ул. Красная, д. 52";Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N2301475004;Веломототехника Stels;Независимые торговцы;Документы получены;3 порядок;3 порядок;Заблокирована
N230104624000001;"""Best mebel"", ИП Резвушкина Д.Н., г. Славянск-на-Кубани, ул. Дзержинского, д. 269/2";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230104156000003;"""Мир окон и дверей"", ИП Кателинец А.В., ст. Полтавская, ул. Жлобы, д. 53";Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N230101258001;Мобильник;Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230101829000011;"Магазин ""Тысяча мелочей"" ООО ""Универмаг"" Красноармейского РПС, ст.Полтавская, ул.Красная, д.133";Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N230101596001;"Магазин ""Велена"", ИП Ващенко Е.Е., г.Славянск-на-Кубани, ул. Дзержинского, д. 263";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230103710000001;"Торговый павильон ""МОТО-ТЕХНИКА"" ИП Кочегаров А.А., х.Трудобеликовский, ул.Ленина, д.9/1, литер А, 13";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N2301475001;"Магазин"" Stealth"" ИП Федюн Ю.А.";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230102589000001;Электросвет  ИП Еременко В.В. Славянск-на-Кубани;Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230101874000001;"ТСЦ ""Виктория"" х. Трудобеликовский, ИП Середа С.Н., х. Трудобеликовский, ул. Ленина, д. 9";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N2301104001;Мир музыки в Славянске-на-Кубани;Независимые торговцы;Документы получены;3 порядок;3 порядок;Заблокирована
N230104122000002;"""Автозапчасти"" ИП Чуян Т.Е.,г.Славянск-на-Кубани,ул.Ковтюха,д.16";Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N230104194000002;"""Dozor23"", ИП Завгородний В.В., г. Славянск-на-Кубани, ул. Победы ,д. 196А";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102990000001;Фронт, ИП Никитенко Г.Л., г. Славянск-на-Кубани, ул. Ленина, д. 113, к. 1, офис 15;Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230103001000001;Мебельный цех СКМ, ИП Саакян К.М., г. Славянск-на-Кубани, ул. Красная, д. 180, кв. 1;Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230103703000002;"Торговый павильон ""Садовод"", ИП Строева Ю.Ю., г.Славянск-на-Кубани,ул.Красная,д.145/12";Независимые торговцы;Документы получены;3 порядок;3 порядок;Заблокирована
N230103472000002;"""Теплицы Юга"", ИП Хорошун С.Л., г. Славянск-на-Кубани, ул. Красная, д. 152";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230102737000001;"""Империя мебели"", ИП Жамерко С.В., г. Славянск-на-Кубани, ул. Дзержинского, д. 269/1";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230102887000001;"""Мастер 12 Вольт"" ИП Пазынич А.А., х. Трудобеликовский, ул. Ленина, д. 178, к. А";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
